Iteration,Mu,Sigma,alpha
0,"[-5.89183201e-02  2.23995756e-01  2.72891296e-01  4.17713482e-03
 -2.69335259e+00  1.35150856e-03 -1.16137249e-03  8.93171868e-01
 -6.64369131e-01  2.38531481e-01 -3.05099299e-02]","[1.51866733e-03 1.11681861e-01 1.61675041e-01 1.39500821e-03
 6.02642833e-01 4.45272079e-05 4.74321241e-06 7.49015025e-01
 7.38808629e-02 9.57310057e-02 2.66169968e-03]",36495.832489920474
1,"[-2749.50161949  -129.76125882  -109.96129493  -662.47517997
   -23.17058321   960.37299217    33.40436163  -272.1603475
  -881.92612041  -184.21647343 -3027.19617361]","[0.74798843 0.99848296 0.99905681 0.94938936 0.99993054 0.4007965
 0.05231507 0.99716141 0.96762816 0.99823391 0.66463588]",36430.34055069552
2,"[-2740.73528355  -129.28453842  -109.64055999  -660.48137738
   -23.09021392   954.26308988    33.40974279  -271.23031555
  -878.88363324  -183.60694358 -3017.12976669]","[0.74777725 0.99848098 0.99905541 0.94931634 0.99993044 0.40040303
 0.05224755 0.99715926 0.96760246 0.99823202 0.66438345]",-31867047887.66327
3,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047887.658268
4,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047887.653267
5,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047887.648266
6,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047887.643265
7,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047887.638264
8,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047887.633263
9,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047887.62826
